sku,available,prev committed,updated committed,left over,name
WT158154CF,1355.0,0.0,0.0,1355.0,Label-NB-2Pack:Toasted Coconut
WT156081CF,3950.00024,0.0,0.0,3950.00024,Label-NB-3oz:Chai Spice
WT156083CF,3265.0006,0.0,0.0,3265.0006,Label-NB-3oz:Fiji Ginger
WT156082CF,3049.58371,0.0,0.0,3049.58371,Label-NB-3oz:Maple Cinnamon
WT156080CF,3318.00036,0.0,0.0,3318.00036,Label-NB-3oz:Peanut Butter
WT156085CF,2735.5001,0.0,0.0,2735.5001,Label-NB-3oz:Chocolate Sea Salt
WT156084CF,2680.00032,0.0,0.0,2680.00032,Label-NB-3oz:Almond Butter
WT156086CF,2713.41681,0.0,0.0,2713.41681,Label-NB-3oz:Toasted Coconut
15239,965.0,0.0,0.0,965.0,Shipping Packaging:Shipping Box 3-4 Level
PKG-BAR-BOX,3078.0,0.0,0.0,3078.0,Bar Packaging:Bar Box
PKG-BOX-2PK-4PK,823.0,0.0,0.0,823.0,NB Packaging:2-4-Pack Box
NB-LABEL-GIFT4U,601.0,0.0,0.0,601.0,Label-NB-Other:Gift
LABEL-BAR-BOX-VP,6744.0,0.0,0.0,6744.0,Label-Bar:VP Box
S-13166,119017.0,0.0,0.0,119017.0,Label-NB-Other:Best by
