id,sku
161908,NB-ALM-13OZ
161955,NB-PPEC-13OZ
161949,NB-PNUT-13OZ
161930,NB-GGET-13OZ
163302,NB-LTD-LCASH-10OZ
171253,NB-PBJ-MAR20
161916,NB-CHAI-13OZ
164078,MERCH-JAM-MAR20
163768,NB-WAG-13OZ
161944,NB-MPC-13OZ
161960,NB-TCO-13OZ
161921,NB-CSS-13OZ
162131,NB-PNUT-13OZ-CASE
162074,BAR-VP-CASE
161912,NB-CASH-13OZ
161925,NB-FGIN-13OZ
162065,BAR-CC-CASE
162068,BAR-CP-CASE
161940,NB-MAMBA-13OZ
162595,NB-CSS-TCO-13OZ-2PACK-GIFT
164237,NB-3OZ-4PACK-AB
171256,NB-ABJ-MAR20-GIFT
164238,NB-3OZ-4PACK-AB-GIFT
162071,BAR-FC-CASE
171255,NB-ABJ-MAR20
171254,NB-PBJ-MAR20-GIFT
162149,NB-3OZ-4PACK
162591,NB-CSS-MAMBA-13OZ-2PACK-GIFT
162525,BAR-CP-SUBSCR
171257,NB-PBJ-SUBSCR-MAR20
171600,TP-SINGLE
171549,ALPET-16OZ-BOTTLE
161953,NB-PNUT-8LB
162129,NB-MAMBA-13OZ-CASE
162123,NB-ALM-13OZ-CASE
162593,NB-CSS-PNUT-13OZ-2PACK-GIFT
163725,MERCH-GCARD-25
162529,NB-PNUT-SUBSCR
162133,NB-TCO-13OZ-CASE
171258,NB-ABJ-SUBSCR-MAR20
162062,BAR-AP-CASE
161788,MERCH-T-SPOONS-U-S
163724,MERCH-GCARD-10
162328,NB-FGIN-13OZ-SAMPLE
162327,NB-CSS-13OZ-SAMPLE
162325,NB-CASH-13OZ-SAMPLE
162334,NB-TCO-13OZ-SAMPLE
162333,NB-PPEC-13OZ-SAMPLE
162337,NB-MPC-3OZ-SAMPLE
162330,NB-MAMBA-13OZ-SAMPLE
162146,NB-TRIO-FW19
162148,NB-3OZ-4PACK-GIFT
162592,NB-CSS-MPC-13OZ-2PACK-GIFT
162590,NB-CSS-FGIN-13OZ-2PACK-GIFT
171259,NB-RSTR-SUBSCR-MAR20
162132,NB-PPEC-13OZ-CASE
162125,NB-CHAI-13OZ-CASE
161784,MERCH-T-SPOONS-W-S
162602,NB-MAMBA-MPC-130Z-2PACK-GIFT
162063,BAR-AP-SINGLE
162069,BAR-CP-SINGLE
162072,BAR-FC-SINGLE
162066,BAR-CC-SINGLE
162121,NB-TCO-13OZ-2PACK
162117,NB-MAMBA-13OZ-2PACK
162107,NB-PNUT-13OZ-1PACK
162101,NB-CHAI-13OZ-1PACK
162104,NB-GGET-13OZ-1PACK
162120,NB-PPEC-13OZ-2PACK
161934,NB-JUSTALM-8LB
161919,NB-CHAI-8LB
161927,NB-FGIN-4LB
161945,NB-MPC-3OZ
162339,NB-PNUT-3OZ-SAMPLE
163406,MERCH-JAM-FEB20
162558,NB-CSS-13OZ-2PACK-GIFT
162128,NB-GGET-13OZ-CASE
161936,NB-JUSTPNUT-1LB
16576,MKT-SIGN-BARS
16575,MKT-SIGN-BUTTERS
164236,NB-TCO-3OZ-CASE
162584,NB-CHAI-FGIN-13OZ-2PACK-GIFT
163706,MERCH-BSR-10OZ-JAR
162555,NB-ALM-13OZ-2PACK-GIFT
162126,NB-CSS-13OZ-CASE
162127,NB-FGIN-13OZ-CASE
162586,NB-CHAI-MPC-13OZ-2PACK-GIFT
161790,MERCH-T-SPOONS-U-L
162533,NB-ALM-SUBSCR
162535,NB-FGIN-SUBSCR
