
sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size, stock,weight,weight_units


NB-LABEL-GIFT4U,0.44,Label-NB-Other:Gift,True,1,Each,"[{'id': 198534, 'on_hand': '601', 'available': '601', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,

PKG-BOX-2PK-4PK,0.49,NB Packaging:2-4-Pack Box,True,1,Each,"[{'id': 198550, 'on_hand': '823', 'available': '823', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
S-13166,0.01,Label-NB-Other:Best by,True,1,Each,"[{'id': 198533, 'on_hand': '119017', 'available': '119017', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,


NB-ALM-3OZ,0,Almond Nut Butter:3 oz Jar,True,12,3 oz jar,"[{'id': 202273, 'on_hand': '155', 'available': '155', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
NB-CHAI-3OZ,1.23,Chai Spice Nut Butter:3 oz Jar,True,12,3 oz Jar,"[{'id': 198437, 'on_hand': '8', 'available': '8', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
NB-CSS-3OZ,0,Chocolate Sea Salt Nut Butter:3 oz Jar,True,12,3 oz jar,"[{'id': 202271, 'on_hand': '95', 'available': '95', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
NB-FGIN-3OZ,1.51,Fiji Ginger Nut Butter:3 oz Jar,True,12,3 oz Jar,"[{'id': 198446, 'on_hand': '62', 'available': '62', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.5,
NB-MPC-3OZ,1.18,Maple Cinnamon Nut Butter:3 oz Jar,True,12,3 oz Jar,"[{'id': 198465, 'on_hand': '104', 'available': '104', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.5,
NB-PNUT-3OZ,1.11,Peanut Nut Butter:3 oz Jar,True,12,3 oz Jar,"[{'id': 198471, 'on_hand': '80', 'available': '80', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.5,
NB-PPEC-3OZ,1.23,Peanut Pecan Nut Butter:3 oz Jar,False,1,3 oz Jar,"[{'id': 198476, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.5,
NB-TCO-3OZ,0,Toasted Coconut Nut Butter:3 oz Jar,True,12,3 oz jar,"[{'id': 202275, 'on_hand': '81', 'available': '81', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,

WT156081CF,0.16,Label-NB-3oz:Chai Spice,True,1,Each,"[{'id': 198506, 'on_hand': '3950.00024', 'available': '3950.00024', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
