sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,stock,weight,weight_units
B-PNUT-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-PNUT-4LB,False,1,Each,,"[{'id': 43839, 'on_hand': '2', 'available': '2', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-PNUT-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-PNUT-8LB,False,1,Each,,"[{'id': 43840, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
B-PEANUTS-ONLY,0,WHOLESALE-INACTIVE:B-PEANUTS-ONLY,False,1,Each,,"[{'id': 43841, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
B-PPEC-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-PPEC-4LB,False,1,Each,,"[{'id': 43842, 'on_hand': '1', 'available': '1', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-PPEC-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-PPEC-8LB,True,1,Each,,"[{'id': 43843, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
W-ACO-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ACO-10OZ,False,6,Each,,"[{'id': 43844, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-ACT-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ACT-10OZ,False,6,Each,,"[{'id': 43845, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-AGIN-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AGIN-10OZ,False,6,Each,,"[{'id': 43846, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-ALM-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ALM-10OZ,False,6,Each,,"[{'id': 43847, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-CHAI-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-CHAI-10OZ,False,6,Each,,"[{'id': 43848, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-ESP-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ESP-10OZ,False,6,Each,,"[{'id': 43849, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-HOTP-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-HOTP-10OZ,False,6,Each,,"[{'id': 43850, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-JCB-2PACK,0,WHOLESALE-INACTIVE:W-JCB-2PACK,False,12,Each,,"[{'id': 43851, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",3,lb
W-JCB-HZL,0,WHOLESALE-INACTIVE:W-JCB-HZL,False,12,Each,,"[{'id': 43852, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-JCB-PNT,0,WHOLESALE-INACTIVE:W-JCB-PNT,False,12,Each,,"[{'id': 43853, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-MPC-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-MPC-10OZ,False,6,Each,,"[{'id': 43854, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-70-AP,0,WHOLESALE-INACTIVE:W-70-AP,False,12,Each,,"[{'id': 43855, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.17,lb
W-70-CP,0,WHOLESALE-INACTIVE:W-70-CP,False,12,Each,,"[{'id': 43856, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.21,lb
W-PA-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PA-10OZ,False,6,Each,,"[{'id': 43857, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-PCASH-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PCASH-10OZ,False,6,Each,,"[{'id': 43858, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-PCO-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PCO-10OZ,False,6,Each,,"[{'id': 43859, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-PNUT-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PNUT-10OZ,False,6,Each,,"[{'id': 43860, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-PNUT-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PNUT-3OZ,False,12,Each,,"[{'id': 43861, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-PPEC-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PPEC-10OZ,False,6,Each,,"[{'id': 43862, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.42,lb
W-DISTCASE-AP-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-AP,True,1,Each,28.0,"[{'id': 47569, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",58,lb
W-NB-FC-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-FC,False,12,Each,,"[{'id': 48504, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.17,lb
W-NB-CC-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-CC,False,12,Each,,"[{'id': 48505, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.17,lb
B-PNUT-1LB-INACTIVE,0,WHOLESALE-INACTIVE:B-PNUT-1LB,False,1,Each,,"[{'id': 48686, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb
B-PNUT-ONLY-INACTIVE,0,WHOLESALE-INACTIVE:B-PEANUTS-ONLY,False,5,EACH,,"[{'id': 49865, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-NB-AP-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-AP,False,12,Each,,"[{'id': 50379, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.17,lb
W-NB-CP-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-CP,False,12,Each,,"[{'id': 50380, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.17,lb
W-DISTCASE-CP-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-CP,True,1,Each,28.0,"[{'id': 50681, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",58,lb
W-DISTCASE-CC-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-CC,True,1,Each,28.0,"[{'id': 50682, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",58,lb
W-DISTCASE-FC-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-FC,True,1,Each,28.0,"[{'id': 50683, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",58,lb
W-CHAI-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-CHAI-3OZ,False,12,Each,,"[{'id': 50684, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-MPC-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-MPC-3OZ,False,12,Each,,"[{'id': 50739, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-PPEC-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PPEC-3OZ,False,12,EACH,,"[{'id': 50835, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
