sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
W-DISTCASE-AP-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-AP,True,1,Each,28.0,58,lb
W-NB-FC-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-FC,False,12,Each,,0.17,lb
W-NB-CC-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-CC,False,12,Each,,0.17,lb
B-PNUT-1LB-INACTIVE,0,WHOLESALE-INACTIVE:B-PNUT-1LB,False,1,Each,,1,lb
B-PNUT-ONLY-INACTIVE,0,WHOLESALE-INACTIVE:B-PEANUTS-ONLY,False,5,EACH,,0,
W-NB-AP-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-AP,False,12,Each,,0.17,lb
W-NB-CP-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-CP,False,12,Each,,0.17,lb
W-DISTCASE-CP-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-CP,True,1,Each,28.0,58,lb
W-DISTCASE-CC-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-CC,True,1,Each,28.0,58,lb
W-DISTCASE-FC-INACTIVE,0,WHOLESALE-INACTIVE:W-DISTCASE-FC,True,1,Each,28.0,58,lb
W-CHAI-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-CHAI-3OZ,False,12,Each,,0,
W-MPC-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-MPC-3OZ,False,12,Each,,0,
W-PPEC-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PPEC-3OZ,False,12,EACH,,0,
W-AGIN-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AGIN-3OZ,False,12,EACH,,0,
W-NB-VP-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-VP,False,1,Each,,0,
W-CASE-FC-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-FC,True,1,Each,12.0,2,lb
W-CASE-AP-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-AP,False,1,Each,12.0,2,lb
W-CASE-CC-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-CC,True,1,Each,12.0,2,lb
W-CASE-CP-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-CP,True,1,Each,12.0,2,lb
WHOLESALE,0,WHOLESALE-INACTIVE:W-CASHEW-13OZ,False,6,Each,,13,oz
W-PNUT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PNUT-13OZ,False,6,Each,,1.3,lb
W-PPEC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PPEC-13OZ,False,6,Each,,1.3,lb
W-HOT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-HOT-13OZ,False,6,Each,,1.3,lb
W-CHAI-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-CHAI-13OZ,False,6,Each,,1.3,lb
W-MPC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-MPC-13OZ,True,6,Each,,1.3,lb
W-CASH-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-CASH-13OZ,True,6,Each,,1.3,lb
W-ESP-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ESP-13OZ,False,6,Each,,1.3,lb
W-ALM-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ALM-13OZ,False,6,Each,,1.3,lb
W-ACT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ACT-13OZ,False,6,Each,,1.3,lb
W-ACO-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ACO-13OZ,True,6,Each,,1.3,lb
W-AGIN-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AGIN-13OZ,True,6,Each,,1.3,lb
W-3OZ-VP-NB-INACTIVE,0,WHOLESALE-INACTIVE:W-3OZ-VP,False,6,Each,,0,
W-AMZN-ACO-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACO-13OZ,False,1,,,0,
W-AMZN-ACO-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACO-13OZ -2PAK,False,1,,,0,
W-AMZN-ACT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACT-13OZ,False,1,,,0,
W-AMZN-ACT-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACT-13OZ -2PAK,False,1,,,0,
W-AMZN-AGIN-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-AGIN-13OZ,False,1,,,0,
W-AMZN-AGIN-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-AGIN-13OZ -2PAK,False,1,,,0,
W-AMZN-ALM-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ALM-13OZ,False,1,,,0,
W-AMZN-ALM-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ALM-13OZ -2PAK,False,1,,,0,
W-AMZN-CASH-13OZ,0,WHOLESALE-INACTIVE:W-AMZN-CASH-13OZ,False,1,,,0,
W-AMZN-CASH-13OZ -2PAK,0,WHOLESALE-INACTIVE:W-AMZN-CASH-13OZ -2PAK,False,1,,,0,
W-AMZN-CHAI-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-CHAI-13OZ,False,1,,,0,
W-AMZN-CHAI-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-CHAI-13OZ -2PAK,False,1,,,0,
W-AMZN-ESP-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ESP-13OZ,False,1,,,0,
W-AMZN-ESP-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ESP-13OZ -2PAK,False,1,,,0,
W-AMZN-HOT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-HOT-13OZ,False,1,,,0,
W-AMZN-HOT-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-HOT-13OZ -2PAK,False,1,,,0,
W-AMZN-MPC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-MPC-13OZ,False,1,,,0,
W-AMZN-MPC-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-MPC-13OZ -2PAK,False,1,,,0,
W-AMZN-PNUT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PNUT-13OZ,False,1,,,0,
W-AMZN-PNUT-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PNUT-13OZ -2PAK,False,1,,,0,
W-AMZN-PPEC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PPEC-13OZ,False,1,,,0,
W-AMZN-PPEC-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PPEC-13OZ -2PAK,False,1,,,0,
B-CASH-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-CASH-4LB,True,1,Each,,6,lb
