id,sku,price,name,active
161908,NB-ALM-13OZ,12.95,Almond Nut Butter:13 oz Jar,True
161955,NB-PPEC-13OZ,11.95,Peanut Pecan Nut Butter:13 oz Jar,True
161949,NB-PNUT-13OZ,9.95,Peanut Nut Butter:13 oz Jar,True
161930,NB-GGET-13OZ,13.95,GGet Espresso Nut Butter:13 oz Jar,True
163302,NB-LTD-LCASH-10OZ,14.95,Limited Batch - Lemon Cashew Nut Butter:10 oz Jar,True
171253,NB-PBJ-MAR20,20.95,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-MAR20",False
161916,NB-CHAI-13OZ,11.95,Chai Spice Nut Butter:13 oz Jar,True
164078,MERCH-JAM-MAR20,14.5,Featured Jam:V Smiley Preserves Black Currant Shiro Plum,True
163768,NB-WAG-13OZ,8.95,Wag Butter:13 oz Jar,True
161944,NB-MPC-13OZ,11.95,Maple Cinnamon Nut Butter:13 oz Jar,True
161960,NB-TCO-13OZ,13.95,Toasted Coconut Nut Butter:13 oz Jar,True
161921,NB-CSS-13OZ,13.95,Chocolate Sea Salt Nut Butter:13 oz Jar,True
162131,NB-PNUT-13OZ-CASE,107.5,"Nut Butter, 13 oz Case:Peanut Butter",True
162074,BAR-VP-CASE,27,Bar Variety Pack:Bar Variety Pack - Case,True
161912,NB-CASH-13OZ,14.95,Cashew Nut Butter:13 oz Jar,True
161925,NB-FGIN-13OZ,13.95,Fiji Ginger Nut Butter:13 oz Jar,True
162065,BAR-CC-CASE,27,Cranberry Cashew Nut Butter Bar:Case,True
162068,BAR-CP-CASE,27,Cherry Pecan Nut Butter Bar:Case,True
161940,NB-MAMBA-13OZ,11.95,Hot Mamba Nut Butter:13 oz Jar,True
162595,NB-CSS-TCO-13OZ-2PACK-GIFT,27.95,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chocolate Sea Salt & Toasted Coconut",True
164237,NB-3OZ-4PACK-AB,26.95,"Nut Butter, Variety Pack 3oz:AB-3OZ-4PACK",True
171256,NB-ABJ-MAR20-GIFT,27.95,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-MAR20-GIFT",False
164238,NB-3OZ-4PACK-AB-GIFT,26.95,"Nut Butter, Variety Pack 3oz:AB-3OZ-4PACK-GIFT",False
162071,BAR-FC-CASE,27,Figgy Chai Nut Butter Bar:Case,True
171255,NB-ABJ-MAR20,24.5,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-MAR20",False
171254,NB-PBJ-MAR20-GIFT,24.5,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-MAR20-GIFT",False
162149,NB-3OZ-4PACK,24.95,"Nut Butter, Variety Pack 3oz:3OZ-4PACK",True
162591,NB-CSS-MAMBA-13OZ-2PACK-GIFT,27.95,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chocolate Sea Salt & Hot Mamba",True
162525,BAR-CP-SUBSCR,32,"Nut Butter Bar, Subscriptions:Cherry Pecan",True
171257,NB-PBJ-SUBSCR-MAR20,29,"Nut Butter, Subscriptions:PBJ-MAR20-SUBSCR",False
171600,TP-SINGLE,1.148,SUPPLIES - NON-INVENTORY:TP - Single Roll,True
171549,ALPET-16OZ-BOTTLE,2.21,SUPPLIES - NON-INVENTORY:16oz Alpet,True
161953,NB-PNUT-8LB,56,Peanut Nut Butter:8# Bucket,True
162129,NB-MAMBA-13OZ-CASE,128.95,"Nut Butter, 13 oz Case:Hot Mamba",True
162123,NB-ALM-13OZ-CASE,139.95,"Nut Butter, 13 oz Case:Almond Butter",True
162593,NB-CSS-PNUT-13OZ-2PACK-GIFT,27.95,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chocolate Sea Salt & Peanut Butter",True
163725,MERCH-GCARD-25,25,BSR Gift Card:$25,True
162529,NB-PNUT-SUBSCR,14.95,"Nut Butter, Subscriptions:YOUR-PNUT",True
162133,NB-TCO-13OZ-CASE,150.95,"Nut Butter, 13 oz Case:Toasted Coconut",True
